record_id,waveform_file,station_code,origin_time,record_time,mag,split
train_000066,record_000066.npz,ABSH09,2008/3/13 17:41,2008/3/13 17:41,5.3,train
train_000067,record_000067.npz,ABSH09,2008/5/11 3:24,2008/5/11 3:24,5.1,train
train_000068,record_000068.npz,ABSH09,2008/5/31 15:24,2008/5/31 15:24,4.5,train
train_000069,record_000069.npz,ABSH09,2008/8/29 23:41,2008/8/29 23:41,4.1,train
train_000070,record_000070.npz,ABSH09,2008/9/12 7:34,2008/9/12 7:35,5.2,train
train_000071,record_000071.npz,ABSH09,2008/11/22 0:44,2008/11/22 0:45,5.2,train
train_000072,record_000072.npz,ABSH09,2009/1/11 14:57,2009/1/11 14:58,4.7,train
train_000073,record_000073.npz,ABSH09,2009/3/20 15:52,2009/3/20 15:52,5,train
train_000074,record_000074.npz,ABSH09,2009/4/28 20:21,2009/4/28 20:21,5.4,train
train_000075,record_000075.npz,ABSH09,2009/5/10 16:52,2009/5/10 16:52,4.3,train
train_000076,record_000076.npz,ABSH09,2009/8/15 19:45,2009/8/15 19:46,4.6,train
train_000077,record_000077.npz,ABSH10,2004/11/29 3:32,2004/11/29 3:32,7.1,train
train_000078,record_000078.npz,ABSH10,2007/7/1 13:12,2007/7/1 13:12,5.8,train
train_000079,record_000079.npz,ABSH10,2008/5/11 3:24,2008/5/11 3:24,5.1,train
train_000080,record_000080.npz,ABSH10,2008/11/22 0:44,2008/11/22 0:45,5.2,train
train_000081,record_000081.npz,ABSH10,2009/1/11 14:57,2009/1/11 14:57,4.7,train
train_000082,record_000082.npz,ABSH10,2009/1/11 21:53,2009/1/11 21:53,4.5,train
train_000083,record_000083.npz,ABSH10,2009/4/28 20:21,2009/4/28 20:21,5.4,train
train_000084,record_000084.npz,ABSH10,2009/5/10 16:52,2009/5/10 16:52,4.3,train
train_000085,record_000085.npz,ABSH10,2009/9/29 21:03,2009/9/29 21:03,4.5,train
train_000086,record_000086.npz,ABSH10,2009/11/19 0:24,2009/11/19 0:24,4.2,train
train_000087,record_000087.npz,ABSH10,2010/4/9 3:41,2010/4/9 3:42,4.8,train
train_000088,record_000088.npz,ABSH10,2010/7/8 21:23,2010/7/8 21:24,4.7,train
train_000089,record_000089.npz,ABSH10,2010/9/28 1:13,2010/9/28 1:14,5.3,train
train_000090,record_000090.npz,ABSH11,2001/4/27 2:49,2001/4/27 2:49,5.9,train
train_000091,record_000091.npz,ABSH11,2003/9/29 11:37,2003/9/29 11:37,6.5,train
train_000092,record_000092.npz,ABSH11,2004/4/12 3:06,2004/4/12 3:06,5.8,train
train_000093,record_000093.npz,ABSH11,2004/5/21 23:27,2004/5/21 23:27,4.8,train
train_000094,record_000094.npz,ABSH11,2004/11/29 3:32,2004/11/29 3:32,7.1,train
train_000095,record_000095.npz,ABSH11,2004/12/6 23:15,2004/12/6 23:15,6.9,train
train_000096,record_000096.npz,ABSH11,2005/1/18 23:09,2005/1/18 23:09,6.4,train
train_000097,record_000097.npz,ABSH11,2008/11/22 0:44,2008/11/22 0:45,5.2,train
train_000098,record_000098.npz,ABSH11,2009/4/28 20:21,2009/4/28 20:21,5.4,train
train_000099,record_000099.npz,ABSH11,2010/7/8 21:23,2010/7/8 21:23,4.7,train
train_000100,record_000100.npz,ABSH11,2010/7/16 6:18,2010/7/16 6:19,4.2,train
train_000101,record_000101.npz,ABSH11,2010/8/7 14:31,2010/8/7 14:31,4.6,train
train_000102,record_000102.npz,ABSH11,2010/9/4 6:15,2010/9/4 6:15,5.1,train
train_000103,record_000103.npz,ABSH11,2010/9/28 1:13,2010/9/28 1:14,5.3,train
train_000104,record_000104.npz,ABSH11,2010/11/19 13:02,2010/11/19 13:02,4.8,train
train_000105,record_000105.npz,ABSH11,2010/12/6 0:51,2010/12/6 0:51,4.2,train
train_000106,record_000106.npz,ABSH11,2011/2/22 12:50,2011/2/22 12:51,4.2,train
train_000107,record_000107.npz,ABSH12,2000/11/14 12:53,2000/11/14 12:53,5.2,train
train_000108,record_000108.npz,ABSH12,2001/4/27 2:49,2001/4/27 2:49,5.9,train
train_000109,record_000109.npz,ABSH12,2002/8/25 3:41,2002/8/25 3:41,5.8,train
train_000110,record_000110.npz,ABSH12,2003/7/3 8:52,2003/7/3 8:52,5.8,train
train_000111,record_000111.npz,ABSH12,2003/9/29 11:37,2003/9/29 11:37,6.5,train
train_000112,record_000112.npz,ABSH12,2004/4/12 3:06,2004/4/12 3:06,5.8,train
train_000113,record_000113.npz,ABSH12,2004/11/29 3:32,2004/11/29 3:32,7.1,train
train_000114,record_000114.npz,ABSH12,2004/12/6 23:15,2004/12/6 23:15,6.9,train
train_000115,record_000115.npz,ABSH12,2005/1/18 23:09,2005/1/18 23:09,6.4,train
train_000116,record_000116.npz,ABSH12,2007/10/30 13:04,2007/10/30 13:05,4.2,train
train_000117,record_000117.npz,ABSH12,2008/5/11 3:24,2008/5/11 3:24,5.1,train
train_000118,record_000118.npz,ABSH12,2008/5/31 15:24,2008/5/31 15:24,4.5,train
train_000119,record_000119.npz,ABSH12,2008/8/29 23:41,2008/8/29 23:41,4.1,train
train_000120,record_000120.npz,ABSH12,2008/9/12 7:34,2008/9/12 7:35,5.2,train
train_000121,record_000121.npz,ABSH12,2008/11/22 0:44,2008/11/22 0:45,5.2,train
train_000122,record_000122.npz,ABSH12,2009/1/11 14:57,2009/1/11 14:57,4.7,train
train_000123,record_000123.npz,ABSH12,2009/1/11 21:53,2009/1/11 21:53,4.5,train
train_000124,record_000124.npz,ABSH12,2009/3/20 15:52,2009/3/20 15:52,5,train
train_000125,record_000125.npz,ABSH12,2009/4/28 20:21,2009/4/28 20:21,5.4,train
train_000126,record_000126.npz,ABSH12,2009/5/10 16:52,2009/5/10 16:52,4.3,train
train_000127,record_000127.npz,ABSH12,2009/7/13 4:28,2009/7/13 4:28,4.4,train
train_000128,record_000128.npz,ABSH12,2009/7/28 4:16,2009/7/28 4:16,4.7,train
train_000129,record_000129.npz,ABSH12,2009/8/15 19:45,2009/8/15 19:46,4.6,train
train_000130,record_000130.npz,ABSH12,2009/9/10 18:29,2009/9/10 18:29,4.7,train
train_000131,record_000131.npz,ABSH13,2000/11/14 0:57,2000/11/14 0:57,5.9,train
train_000132,record_000132.npz,ABSH13,2000/11/14 12:53,2000/11/14 12:53,5.2,train
train_000133,record_000133.npz,ABSH13,2002/12/1 18:57,2002/12/1 18:57,5.4,train
train_000134,record_000134.npz,ABSH13,2003/9/11 4:32,2003/9/11 4:32,4.9,train
train_000135,record_000135.npz,ABSH13,2003/9/29 11:37,2003/9/29 11:37,6.5,train
train_000136,record_000136.npz,ABSH13,2003/10/8 18:07,2003/10/8 18:07,6.4,train
train_000137,record_000137.npz,ABSH13,2003/10/18 18:32,2003/10/18 18:32,4.5,train
train_000138,record_000138.npz,ABSH13,2003/12/22 17:47,2003/12/22 17:47,5.7,train
train_000139,record_000139.npz,ABSH13,2003/12/29 10:31,2003/12/29 10:31,6,train
train_000140,record_000140.npz,ABSH13,2004/11/29 3:32,2004/11/29 3:32,7.1,train
train_000141,record_000141.npz,ABSH13,2004/12/6 23:15,2004/12/6 23:15,6.9,train
train_000142,record_000142.npz,ABSH13,2005/1/18 23:09,2005/1/18 23:09,6.4,train
train_000143,record_000143.npz,ABSH13,2008/1/23 4:34,2008/1/23 4:35,4.9,train
train_000144,record_000144.npz,ABSH13,2008/3/3 17:06,2008/3/3 17:06,4.3,train
train_000145,record_000145.npz,ABSH13,2008/8/29 23:41,2008/8/29 23:41,4.1,train
train_000146,record_000146.npz,ABSH13,2008/9/2 17:17,2008/9/2 17:17,4.2,train
train_000147,record_000147.npz,ABSH13,2008/9/12 7:34,2008/9/12 7:35,5.2,train
train_000148,record_000148.npz,ABSH13,2008/10/16 20:49,2008/10/16 20:49,4.2,train
train_000149,record_000149.npz,ABSH13,2008/10/23 13:40,2008/10/23 13:41,4.2,train
train_000150,record_000150.npz,ABSH13,2008/10/31 4:18,2008/10/31 4:19,4.4,train
train_000151,record_000151.npz,ABSH13,2008/12/25 5:32,2008/12/25 5:32,5,train
train_000152,record_000152.npz,ABSH13,2009/1/11 14:57,2009/1/11 14:57,4.7,train
train_000153,record_000153.npz,ABSH13,2009/1/11 21:53,2009/1/11 21:53,4.5,train
train_000154,record_000154.npz,ABSH13,2009/1/31 4:07,2009/1/31 4:07,4.2,train
train_000155,record_000155.npz,ABSH13,2009/2/28 9:36,2009/2/28 9:36,5.3,train
train_000156,record_000156.npz,ABSH13,2009/3/20 15:52,2009/3/20 15:52,5,train
train_000157,record_000157.npz,ABSH13,2009/4/5 17:00,2009/4/5 17:00,4.8,train
train_000158,record_000158.npz,ABSH13,2009/4/28 20:21,2009/4/28 20:21,5.4,train
train_000159,record_000159.npz,ABSH14,2001/4/27 2:49,2001/4/27 2:49,5.9,train
train_000160,record_000160.npz,ABSH14,2004/5/21 23:27,2004/5/21 23:27,4.8,train
train_000161,record_000161.npz,ABSH14,2004/11/29 3:32,2004/11/29 3:32,7.1,train
train_000162,record_000162.npz,ABSH14,2004/12/6 23:15,2004/12/6 23:15,6.9,train
train_000163,record_000163.npz,ABSH14,2004/12/22 0:34,2004/12/22 0:34,5.7,train
train_000164,record_000164.npz,ABSH14,2005/1/18 23:09,2005/1/18 23:09,6.4,train
train_000165,record_000165.npz,ABSH14,2005/3/12 3:47,2005/3/12 3:47,5.1,train
train_000166,record_000166.npz,ABSH14,2007/12/10 16:23,2007/12/10 16:24,4.2,train
train_000167,record_000167.npz,ABSH14,2008/3/3 17:06,2008/3/3 17:06,4.3,train
train_000168,record_000168.npz,ABSH14,2008/5/11 3:24,2008/5/11 3:24,5.1,train
train_000169,record_000169.npz,ABSH14,2008/5/31 15:24,2008/5/31 15:24,4.5,train
train_000170,record_000170.npz,ABSH14,2008/8/29 23:41,2008/8/29 23:41,4.1,train
train_000171,record_000171.npz,ABSH14,2008/9/12 7:34,2008/9/12 7:35,5.2,train
train_000172,record_000172.npz,ABSH14,2008/11/22 0:44,2008/11/22 0:45,5.2,train
train_000173,record_000173.npz,ABSH14,2008/12/25 5:32,2008/12/25 5:32,5,train
train_000174,record_000174.npz,ABSH14,2009/1/11 14:57,2009/1/11 14:57,4.7,train
train_000175,record_000175.npz,ABSH14,2009/1/11 21:53,2009/1/11 21:53,4.5,train
train_000176,record_000176.npz,ABSH14,2009/3/20 15:52,2009/3/20 15:52,5,train
train_000177,record_000177.npz,ABSH14,2009/4/28 20:21,2009/4/28 20:21,5.4,train
train_000178,record_000178.npz,ABSH14,2009/5/10 16:52,2009/5/10 16:53,4.3,train
train_000179,record_000179.npz,ABSH14,2009/7/13 4:28,2009/7/13 4:28,4.4,train
train_000180,record_000180.npz,ABSH14,2009/7/28 4:16,2009/7/28 4:16,4.7,train
train_000181,record_000181.npz,ABSH14,2009/8/15 19:45,2009/8/15 19:46,4.6,train
train_000182,record_000182.npz,AICH04,2000/10/31 1:43,2000/10/31 1:43,5.5,train
train_000183,record_000183.npz,AICH04,2001/1/6 11:48,2001/1/6 11:48,4.6,train
train_000184,record_000184.npz,AICH04,2001/2/23 7:23,2001/2/23 7:23,4.9,train
train_000185,record_000185.npz,AICH04,2002/4/11 23:16,2002/4/11 23:16,4.2,train
train_000186,record_000186.npz,AICH04,2004/1/6 14:50,2004/1/6 14:51,5.4,train
train_000187,record_000187.npz,AICH04,2005/12/24 11:02,2005/12/24 11:02,4.8,train
train_000188,record_000188.npz,AICH04,2006/12/19 18:33,2006/12/19 18:33,4.4,train
train_000189,record_000189.npz,AICH04,2007/4/15 12:19,2007/4/15 12:19,5.4,train
train_000190,record_000190.npz,AICH04,2007/4/15 18:34,2007/4/15 18:34,4.6,train
train_000191,record_000191.npz,AICH04,2009/8/13 18:11,2009/8/13 18:11,4.5,train
train_000192,record_000192.npz,AICH04,2011/2/27 2:19,2011/2/27 2:19,5,train
train_000193,record_000193.npz,AICH04,1997/10/11 14:44,1997/10/11 14:44,4.9,train
train_000194,record_000194.npz,AICH04,1997/10/21 19:55,1997/10/21 19:55,4.3,train
train_000195,record_000195.npz,AICH04,1997/12/19 22:07,1997/12/19 22:08,4.4,train
train_000196,record_000196.npz,AICH04,1998/2/10 1:20,1998/2/10 1:21,4.2,train
train_000197,record_000197.npz,AICH04,1998/4/22 20:32,1998/4/22 20:32,5.4,train
train_000198,record_000198.npz,AICH04,1999/11/29 21:34,1999/11/29 21:34,4.7,train
train_000199,record_000199.npz,AICH06,2000/10/31 1:43,2000/10/31 1:43,5.5,train
train_000200,record_000200.npz,AICH06,2001/1/6 11:48,2001/1/6 11:48,4.6,train
train_000201,record_000201.npz,AICH06,2001/2/23 7:23,2001/2/23 7:23,4.9,train
train_000202,record_000202.npz,AICH06,2001/4/3 23:57,2001/4/3 23:57,5.1,train
train_000203,record_000203.npz,AICH06,2001/9/27 18:14,2001/9/27 18:15,4.3,train
train_000204,record_000204.npz,AICH06,2002/4/11 23:16,2002/4/11 23:16,4.2,train
train_000205,record_000205.npz,AICH06,2003/1/19 4:50,2003/1/19 4:50,5.3,train
train_000206,record_000206.npz,AICH06,2003/1/23 21:42,2003/1/23 21:43,4.5,train
train_000207,record_000207.npz,AICH06,2003/7/9 2:14,2003/7/9 2:14,4.3,train
train_000208,record_000208.npz,AICH06,2004/1/6 14:50,2004/1/6 14:51,5.4,train
train_000209,record_000209.npz,AICH06,2004/9/5 19:07,2004/9/5 19:07,6.9,train
train_000210,record_000210.npz,AICH06,2004/9/5 23:57,2004/9/5 23:57,7.4,train
train_000211,record_000211.npz,AICH06,2004/9/7 8:29,2004/9/7 8:30,6.4,train
train_000212,record_000212.npz,AICH06,2004/9/8 3:36,2004/9/8 3:36,5.5,train
train_000213,record_000213.npz,AICH06,2004/9/8 23:58,2004/9/8 23:58,6.5,train
train_000214,record_000214.npz,AICH06,2004/11/9 0:07,2004/11/9 0:08,5.7,train
train_000215,record_000215.npz,AICH06,2007/4/15 12:19,2007/4/15 12:19,5.4,train
train_000216,record_000216.npz,AICH06,2008/4/20 1:00,2008/4/20 1:00,4.3,train
train_000217,record_000217.npz,AICH06,2008/8/30 18:28,2008/8/30 18:29,4.2,train
train_000218,record_000218.npz,AICH06,2009/2/18 6:47,2009/2/18 6:47,5.2,train
train_000219,record_000219.npz,AICH06,2009/5/25 20:26,2009/5/25 20:26,4.7,train
train_000220,record_000220.npz,AICH06,2009/8/11 5:07,2009/8/11 5:07,6.5,train
train_000221,record_000221.npz,AICH06,2010/1/10 1:44,2010/1/10 1:44,4.3,train
train_000222,record_000222.npz,AICH06,2010/7/21 6:19,2010/7/21 6:19,5.1,train
train_000223,record_000223.npz,AICH06,2011/2/21 15:46,2011/2/21 15:46,4.8,train
train_000224,record_000224.npz,AICH06,2011/2/27 5:38,2011/2/27 5:38,5.5,train
train_000225,record_000225.npz,AICH06,2011/3/15 22:31,2011/3/15 22:32,6.4,train
train_000226,record_000226.npz,AICH07,2000/7/15 10:30,2000/7/15 10:31,6.3,train
train_000227,record_000227.npz,AICH07,2000/10/31 1:43,2000/10/31 1:43,5.5,train
train_000228,record_000228.npz,AICH07,2001/1/6 11:48,2001/1/6 11:48,4.6,train
train_000229,record_000229.npz,AICH07,2001/2/23 7:23,2001/2/23 7:23,4.9,train
train_000230,record_000230.npz,AICH07,2001/6/1 0:41,2001/6/1 0:41,4.8,train
train_000231,record_000231.npz,AICH07,2001/8/25 22:21,2001/8/25 22:21,5.1,train
train_000232,record_000232.npz,AICH07,2001/9/27 18:14,2001/9/27 18:14,4.3,train
train_000233,record_000233.npz,AICH07,2002/7/6 6:58,2002/7/6 6:58,4.1,train
train_000234,record_000234.npz,AICH07,2003/3/4 23:43,2003/3/4 23:43,4.1,train
train_000235,record_000235.npz,AICH07,2005/12/24 11:02,2005/12/24 11:02,4.8,train
train_000236,record_000236.npz,AICH07,2007/8/31 10:51,2007/8/31 10:51,4.3,train
train_000237,record_000237.npz,AICH07,2008/1/27 10:33,2008/1/27 10:33,4.1,train
train_000238,record_000238.npz,AICH07,2008/1/27 10:53,2008/1/27 10:53,4.2,train
train_000239,record_000239.npz,AICH07,2008/4/20 1:00,2008/4/20 1:00,4.3,train
train_000240,record_000240.npz,AICH07,2008/6/13 11:21,2008/6/13 11:21,4.7,train
train_000241,record_000241.npz,AICH07,2008/8/8 4:35,2008/8/8 4:35,4.2,train
train_000242,record_000242.npz,AICH07,2008/8/30 18:28,2008/8/30 18:28,4.2,train
train_000243,record_000243.npz,AICH07,2008/10/1 9:25,2008/10/1 9:25,4.4,train
train_000244,record_000244.npz,AICH07,2009/2/18 6:47,2009/2/18 6:47,5.2,train
train_000245,record_000245.npz,AICH07,2009/5/25 20:26,2009/5/25 20:26,4.7,train
train_000246,record_000246.npz,AICH07,2009/8/11 5:07,2009/8/11 5:07,6.5,train
train_000247,record_000247.npz,AICH07,2009/8/11 6:27,2009/8/11 6:27,4.4,train
train_000248,record_000248.npz,AICH07,2009/8/13 12:42,2009/8/13 12:43,4.3,train
train_000249,record_000249.npz,AICH07,2009/8/13 18:11,2009/8/13 18:11,4.5,train
train_000250,record_000250.npz,AICH07,2009/12/17 23:45,2009/12/17 23:46,5,train
train_000251,record_000251.npz,AICH07,2010/1/10 1:44,2010/1/10 1:45,4.3,train
train_000252,record_000252.npz,AICH07,2011/2/27 2:19,2011/2/27 2:19,5,train
train_000253,record_000253.npz,AICH07,2011/2/27 5:38,2011/2/27 5:38,5.5,train
train_000254,record_000254.npz,AICH07,2011/3/11 15:08,2011/3/11 15:08,4.6,train
train_000255,record_000255.npz,AICH07,2011/3/15 22:31,2011/3/15 22:32,6.4,train
train_000256,record_000256.npz,AICH08,2000/7/1 16:02,2000/7/1 16:02,6.4,train
train_000257,record_000257.npz,AICH08,2001/1/6 11:48,2001/1/6 11:48,4.6,train
train_000258,record_000258.npz,AICH08,2001/2/23 7:23,2001/2/23 7:23,4.9,train
train_000259,record_000259.npz,AICH08,2001/4/3 23:57,2001/4/3 23:57,5.1,train
train_000260,record_000260.npz,AICH08,2002/4/11 23:16,2002/4/11 23:16,4.2,train
train_000261,record_000261.npz,AICH08,2002/8/11 7:56,2002/8/11 7:56,4.3,train
train_000262,record_000262.npz,AICH08,2003/7/9 2:14,2003/7/9 2:14,4.3,train
train_000263,record_000263.npz,AICH08,2003/10/28 13:31,2003/10/28 13:31,4.1,train
train_000264,record_000264.npz,AICH08,2003/12/23 14:34,2003/12/23 14:35,4.4,train
train_000265,record_000265.npz,AICH08,2004/1/6 14:50,2004/1/6 14:51,5.4,train
train_000266,record_000266.npz,AICH08,2004/10/5 8:33,2004/10/5 8:34,4.8,train
train_000267,record_000267.npz,AICH08,2005/1/9 18:59,2005/1/9 18:59,4.7,train
train_000268,record_000268.npz,AICH08,1998/4/22 20:32,1998/4/22 20:33,5.4,train
train_000269,record_000269.npz,AICH08,1999/3/16 16:43,1999/3/16 16:43,4.9,train
train_000270,record_000270.npz,AICH08,1999/11/7 3:34,1999/11/7 3:34,4.8,train
train_000271,record_000271.npz,AICH08,1999/11/29 21:34,1999/11/29 21:34,4.7,train
train_000272,record_000272.npz,AICH09,2000/7/1 16:02,2000/7/1 16:02,6.4,train
train_000273,record_000273.npz,AICH09,2000/7/5 11:21,2000/7/5 11:22,5.1,train
train_000274,record_000274.npz,AICH09,2000/7/7 3:59,2000/7/7 4:00,4.9,train
train_000275,record_000275.npz,AICH09,2001/4/3 23:57,2001/4/3 23:57,5.1,train
train_000276,record_000276.npz,AICH09,2001/5/31 1:52,2001/5/31 1:52,4.1,train
train_000277,record_000277.npz,AICH09,2001/6/1 0:41,2001/6/1 0:42,4.8,train
train_000278,record_000278.npz,AICH09,2001/6/3 11:33,2001/6/3 11:33,4.2,train
train_000279,record_000279.npz,AICH09,2001/9/22 18:11,2001/9/22 18:11,4.2,train
train_000280,record_000280.npz,AICH09,2001/9/27 18:14,2001/9/27 18:14,4.3,train
train_000281,record_000281.npz,AICH09,2002/4/11 23:16,2002/4/11 23:16,4.2,train
train_000282,record_000282.npz,AICH09,2002/5/12 18:52,2002/5/12 18:53,4.1,train
train_000283,record_000283.npz,AICH09,2002/8/11 7:56,2002/8/11 7:56,4.3,train
train_000284,record_000284.npz,AICH09,2002/9/22 9:36,2002/9/22 9:36,4.2,train
train_000285,record_000285.npz,AICH09,2003/1/19 4:50,2003/1/19 4:50,5.3,train
train_000286,record_000286.npz,AICH09,2003/1/23 21:42,2003/1/23 21:43,4.5,train
train_000287,record_000287.npz,AICH09,2003/2/7 13:06,2003/2/7 13:07,4.2,train
train_000288,record_000288.npz,AICH09,2004/9/5 19:07,2004/9/5 19:07,6.9,train
train_000289,record_000289.npz,AICH09,2004/9/5 23:57,2004/9/5 23:57,7.4,train
train_000290,record_000290.npz,AICH09,2005/12/24 11:02,2005/12/24 11:02,4.8,train
train_000291,record_000291.npz,AICH09,2008/1/27 10:33,2008/1/27 10:33,4.1,train
train_000292,record_000292.npz,AICH09,2008/1/27 10:53,2008/1/27 10:53,4.2,train
train_000293,record_000293.npz,AICH09,2008/4/20 1:00,2008/4/20 1:00,4.3,train
train_000294,record_000294.npz,AICH09,2008/6/13 11:21,2008/6/13 11:22,4.7,train
train_000295,record_000295.npz,AICH09,2009/2/18 6:47,2009/2/18 6:47,5.2,train
train_000296,record_000296.npz,AICH09,2009/5/25 20:26,2009/5/25 20:26,4.7,train
train_000297,record_000297.npz,AICH09,2009/8/11 5:07,2009/8/11 5:07,6.5,train
train_000298,record_000298.npz,AICH10,2001/2/23 7:23,2001/2/23 7:23,4.9,train
